tefreqs:, k index, k1, k2, k3, kmag/2pi, te band 1, te band 2, te band 3, te band 4, te band 5, te band 6, te band 7, te band 8, te band 9, te band 10, te band 11, te band 12, te band 13, te band 14, te band 15, te band 16, te band 17, te band 18, te band 19, te band 20, te band 21, te band 22, te band 23, te band 24, te band 25, te band 26, te band 27, te band 28, te band 29, te band 30, te band 31, te band 32, te band 33, te band 34, te band 35, te band 36, te band 37, te band 38, te band 39, te band 40, te band 41, te band 42, te band 43, te band 44, te band 45, te band 46, te band 47, te band 48, te band 49, te band 50, te band 51, te band 52, te band 53, te band 54, te band 55, te band 56, te band 57, te band 58, te band 59, te band 60, te band 61, te band 62, te band 63, te band 64, te band 65, te band 66, te band 67, te band 68, te band 69, te band 70, te band 71, te band 72, te band 73, te band 74, te band 75, te band 76, te band 77, te band 78, te band 79, te band 80, te band 81, te band 82, te band 83, te band 84, te band 85, te band 86, te band 87, te band 88, te band 89, te band 90, te band 91, te band 92, te band 93, te band 94, te band 95, te band 96, te band 97, te band 98, te band 99, te band 100, te band 101, te band 102, te band 103, te band 104, te band 105, te band 106, te band 107, te band 108, te band 109, te band 110, te band 111, te band 112, te band 113, te band 114, te band 115, te band 116, te band 117, te band 118, te band 119, te band 120
tefreqs:, 1, -0.5, 0, 0, 0.5, 0.343807, 0.343808, 0.346649, 0.34665, 0.349387, 0.349387, 0.353331, 0.353333, 0.354574, 0.354588, 0.362476, 0.362458, 0.363746, 0.363749, 0.373414, 0.373414, 0.376298, 0.3763, 0.387909, 0.387912, 0.394478, 0.394493, 0.405741, 0.405754, 0.408249, 0.408253, 0.420925, 0.420925, 0.423589, 0.423593, 0.434361, 0.434364, 0.436941, 0.436917, 0.444757, 0.444771, 0.45672, 0.456724, 0.469271, 0.469272, 0.480898, 0.480913, 0.482203, 0.482336, 0.483388, 0.483492, 0.485481, 0.485515, 0.486531, 0.486537, 0.491951, 0.491965, 0.501026, 0.501048, 0.508492, 0.508374, 0.513688, 0.513779, 0.517059, 0.517062, 0.586007, 0.586031, 0.586713, 0.586733, 0.58771, 0.588192, 0.587928, 0.588294, 0.588813, 0.588957, 0.610775, 0.610906, 0.610988, 0.611234, 0.611327, 0.611555, 0.611673, 0.611121, 0.611406, 0.611533, 0.617872, 0.617899, 0.618151, 0.618278, 0.61834, 0.618521, 0.618855, 0.619079, 0.618663, 0.61901, 0.619742, 0.619793, 0.620054, 0.620115, 0.620709, 0.620724, 0.621689, 0.621898, 0.622666, 0.622452, 0.627613, 0.627635, 0.628527, 0.628533, 0.62868, 0.628706, 0.6302, 0.630236, 0.630272, 0.630357, 0.631668, 0.631797, 0.631837, 0.631867, 0.632876, 0.632904, 0.633044, 0.633062, 0.633555, 0.633557
tefreqs:, 2, -0.4, 0, 0, 0.4, 0.282262, 0.285381, 0.286178, 0.293581, 0.293856, 0.306316, 0.306495, 0.322818, 0.322991, 0.342051, 0.342285, 0.362793, 0.363207, 0.38296, 0.384047, 0.392627, 0.39395, 0.401238, 0.408027, 0.408347, 0.412572, 0.412611, 0.414463, 0.415365, 0.422345, 0.422998, 0.427713, 0.429043, 0.431749, 0.432917, 0.44004, 0.440471, 0.445416, 0.44717, 0.448361, 0.452283, 0.456133, 0.461709, 0.464903, 0.469172, 0.472023, 0.477376, 0.48001, 0.481961, 0.487671, 0.488034, 0.49107, 0.493599, 0.495026, 0.498834, 0.499541, 0.500937, 0.50176, 0.506053, 0.511339, 0.508122, 0.513939, 0.515281, 0.517567, 0.517842, 0.57897, 0.581024, 0.583758, 0.586554, 0.588981, 0.590903, 0.591934, 0.592839, 0.593303, 0.593542, 0.610462, 0.610814, 0.61102, 0.611133, 0.611145, 0.611308, 0.611357, 0.611108, 0.61127, 0.611359, 0.61713, 0.617194, 0.617348, 0.617604, 0.617848, 0.617878, 0.618106, 0.618997, 0.618764, 0.620753, 0.620871, 0.621879, 0.622799, 0.622934, 0.623243, 0.623419, 0.625118, 0.625186, 0.626334, 0.626325, 0.628338, 0.628375, 0.629431, 0.629857, 0.632139, 0.632194, 0.63221, 0.633257, 0.635298, 0.635996, 0.635935, 0.639044, 0.639074, 0.639848, 0.640797, 0.640897, 0.640982, 0.641025, 0.641573, 0.641588
tefreqs:, 3, -0.3, 0, 0, 0.3, 0.215072, 0.219007, 0.219199, 0.230104, 0.230163, 0.247232, 0.24727, 0.268947, 0.268985, 0.293803, 0.293852, 0.320473, 0.320566, 0.347751, 0.347975, 0.3742, 0.374916, 0.396391, 0.400271, 0.417757, 0.431528, 0.433685, 0.435737, 0.439202, 0.442116, 0.44594, 0.446571, 0.449406, 0.451762, 0.45383, 0.455083, 0.456172, 0.457187, 0.458278, 0.460679, 0.464384, 0.470268, 0.472139, 0.473127, 0.477462, 0.482303, 0.487257, 0.487302, 0.490145, 0.496695, 0.497096, 0.499008, 0.503317, 0.505013, 0.507025, 0.508765, 0.51118, 0.512223, 0.514765, 0.515999, 0.515478, 0.517205, 0.518094, 0.519481, 0.51978, 0.577946, 0.580623, 0.584274, 0.588069, 0.591342, 0.593898, 0.595315, 0.596521, 0.597174, 0.597537, 0.61039, 0.610761, 0.611032, 0.611212, 0.611294, 0.611334, 0.611354, 0.611107, 0.61119, 0.611256, 0.618159, 0.618437, 0.618658, 0.619427, 0.619533, 0.621553, 0.62167, 0.624953, 0.620226, 0.621376, 0.621448, 0.624404, 0.624416, 0.625021, 0.629143, 0.62919, 0.62959, 0.629702, 0.635287, 0.635127, 0.635414, 0.635428, 0.64133, 0.641481, 0.642519, 0.642531, 0.647515, 0.647691, 0.649451, 0.649469, 0.652658, 0.65304, 0.655135, 0.655143, 0.655903, 0.658816, 0.658822, 0.659602, 0.660076, 0.660103
tefreqs:, 4, -0.2, 0, 0, 0.2, 0.144758, 0.150634, 0.15067, 0.166902, 0.166912, 0.190709, 0.190716, 0.219288, 0.219295, 0.250575, 0.250587, 0.283118, 0.283145, 0.31582, 0.315895, 0.347657, 0.347918, 0.376956, 0.378347, 0.401966, 0.410913, 0.427458, 0.431868, 0.443071, 0.444659, 0.450588, 0.452469, 0.45524, 0.456379, 0.457792, 0.458341, 0.459445, 0.471709, 0.477404, 0.479472, 0.489284, 0.489424, 0.493551, 0.494962, 0.497351, 0.498299, 0.500862, 0.502457, 0.503097, 0.506195, 0.509571, 0.510258, 0.510434, 0.513321, 0.515802, 0.516182, 0.516687, 0.517977, 0.520261, 0.520414, 0.522558, 0.522612, 0.523673, 0.523688, 0.524032, 0.583054, 0.585435, 0.588642, 0.591871, 0.594526, 0.596502, 0.597593, 0.598481, 0.598967, 0.599234, 0.611077, 0.611242, 0.611344, 0.611469, 0.611578, 0.611691, 0.611761, 0.611399, 0.611505, 0.61158, 0.620359, 0.621297, 0.621447, 0.622417, 0.623204, 0.623408, 0.624292, 0.624546, 0.626392, 0.626511, 0.629119, 0.629292, 0.632085, 0.632143, 0.635701, 0.635815, 0.640363, 0.64043, 0.64372, 0.643729, 0.650598, 0.650661, 0.652706, 0.652767, 0.66147, 0.661512, 0.662223, 0.662268, 0.671131, 0.671152, 0.671556, 0.671562, 0.678141, 0.678231, 0.679321, 0.679333, 0.681552, 0.683703, 0.683755, 0.684697
tefreqs:, 5, -0.1, 0, 0, 0.1, 0.0727561, 0.0840216, 0.0840245, 0.111052, 0.111052, 0.145037, 0.145037, 0.181757, 0.181757, 0.219387, 0.219388, 0.25697, 0.256979, 0.293837, 0.293871, 0.329331, 0.329468, 0.362379, 0.36314, 0.390782, 0.397217, 0.419109, 0.42257, 0.438693, 0.441642, 0.451186, 0.452263, 0.456605, 0.457033, 0.458902, 0.459458, 0.460023, 0.469671, 0.482871, 0.487846, 0.493453, 0.49406, 0.502616, 0.50388, 0.510981, 0.51184, 0.514565, 0.515129, 0.516143, 0.516543, 0.516724, 0.518069, 0.518833, 0.519436, 0.520517, 0.521445, 0.521629, 0.521629, 0.524222, 0.524249, 0.526163, 0.526255, 0.527401, 0.527414, 0.527753, 0.588901, 0.590567, 0.592756, 0.594926, 0.596699, 0.598034, 0.598791, 0.599423, 0.599779, 0.599976, 0.611711, 0.611802, 0.611848, 0.611895, 0.61192, 0.612022, 0.612107, 0.611735, 0.611842, 0.611925, 0.62105, 0.622367, 0.622445, 0.626479, 0.626484, 0.627845, 0.629138, 0.62917, 0.632645, 0.632743, 0.633887, 0.634057, 0.638963, 0.63899, 0.644349, 0.64443, 0.647388, 0.647395, 0.657511, 0.65706, 0.65753, 0.657944, 0.669123, 0.669129, 0.671895, 0.671917, 0.681421, 0.681423, 0.686075, 0.686081, 0.693239, 0.693252, 0.69858, 0.698593, 0.702724, 0.702893, 0.706994, 0.70741, 0.707758, 0.710947
tefreqs:, 6, 0, 0, 0, 0, 0, 0.0421588, 0.0421593, 0.0841733, 0.0841743, 0.125893, 0.125894, 0.16715, 0.167152, 0.207752, 0.207752, 0.247456, 0.247461, 0.285953, 0.285978, 0.322796, 0.322904, 0.357112, 0.357733, 0.386791, 0.392402, 0.415956, 0.419114, 0.436803, 0.439862, 0.45094, 0.451365, 0.456526, 0.45743, 0.459305, 0.459952, 0.460509, 0.468347, 0.482217, 0.490835, 0.494655, 0.495807, 0.503845, 0.504532, 0.511879, 0.512651, 0.517691, 0.518273, 0.521235, 0.521849, 0.521, 0.521402, 0.52157, 0.52245, 0.522805, 0.52301, 0.524222, 0.524459, 0.526076, 0.526088, 0.527627, 0.527617, 0.52857, 0.528578, 0.528853, 0.591235, 0.592568, 0.594309, 0.596042, 0.597475, 0.598527, 0.599263, 0.599753, 0.600063, 0.600235, 0.611835, 0.611897, 0.611973, 0.612061, 0.612174, 0.612211, 0.612254, 0.612326, 0.612006, 0.612103, 0.62137, 0.622781, 0.622843, 0.627181, 0.627251, 0.630531, 0.631949, 0.631972, 0.635734, 0.634885, 0.635435, 0.636158, 0.642902, 0.642917, 0.646184, 0.646254, 0.65216, 0.652167, 0.660133, 0.66031, 0.663296, 0.663467, 0.675246, 0.675258, 0.676851, 0.676853, 0.68944, 0.689444, 0.692549, 0.692553, 0.703313, 0.703264, 0.707939, 0.70795, 0.715471, 0.715681, 0.720849, 0.721181, 0.722337, 0.72809
tefreqs:, 7, 0.1, 0, 0, 0.1, 0.0727593, 0.0840223, 0.0840251, 0.111049, 0.111049, 0.14503, 0.14503, 0.181746, 0.181746, 0.219372, 0.219374, 0.256953, 0.256961, 0.293816, 0.29385, 0.329308, 0.329445, 0.362358, 0.363115, 0.390776, 0.397161, 0.419075, 0.42255, 0.438711, 0.441675, 0.451261, 0.452312, 0.456683, 0.457137, 0.45901, 0.459575, 0.460142, 0.469685, 0.482902, 0.487901, 0.493477, 0.49406, 0.50259, 0.503884, 0.510941, 0.511821, 0.514586, 0.515231, 0.516051, 0.516618, 0.516684, 0.51802, 0.518939, 0.519464, 0.520524, 0.521449, 0.521608, 0.521652, 0.524258, 0.524302, 0.526188, 0.526255, 0.527431, 0.527445, 0.52781, 0.589382, 0.591001, 0.593129, 0.595231, 0.596943, 0.59818, 0.599027, 0.599583, 0.599931, 0.600123, 0.611752, 0.611803, 0.611891, 0.611962, 0.612041, 0.612114, 0.612156, 0.611921, 0.612008, 0.612109, 0.621062, 0.622393, 0.622462, 0.626553, 0.626585, 0.627894, 0.629199, 0.629228, 0.632627, 0.632708, 0.634007, 0.634198, 0.638994, 0.63903, 0.644454, 0.64454, 0.647415, 0.647429, 0.657427, 0.657298, 0.65776, 0.657906, 0.669224, 0.669231, 0.671926, 0.671941, 0.681511, 0.681513, 0.686127, 0.68613, 0.693339, 0.693347, 0.698643, 0.69867, 0.702826, 0.702959, 0.707053, 0.707483, 0.707742, 0.711162
tefreqs:, 8, 0.2, 0, 0, 0.2, 0.144772, 0.150644, 0.150679, 0.166906, 0.166916, 0.190706, 0.190712, 0.219276, 0.219283, 0.250555, 0.250567, 0.28309, 0.283117, 0.315786, 0.315861, 0.34762, 0.347879, 0.37693, 0.378309, 0.401964, 0.410809, 0.427428, 0.431859, 0.44313, 0.444773, 0.450749, 0.452637, 0.455448, 0.456576, 0.458022, 0.458561, 0.459518, 0.471757, 0.477439, 0.479506, 0.489277, 0.489417, 0.493644, 0.495037, 0.497432, 0.498338, 0.500865, 0.502503, 0.503143, 0.506295, 0.509623, 0.510299, 0.510463, 0.513299, 0.515822, 0.516253, 0.516723, 0.517943, 0.520341, 0.52048, 0.522612, 0.522653, 0.523741, 0.523766, 0.524121, 0.583971, 0.586279, 0.589379, 0.592487, 0.595025, 0.596833, 0.598045, 0.598812, 0.59928, 0.599537, 0.611479, 0.611517, 0.611546, 0.611656, 0.611729, 0.611823, 0.611875, 0.611459, 0.611708, 0.611745, 0.620383, 0.621339, 0.621502, 0.622459, 0.623169, 0.623414, 0.624485, 0.62474, 0.626373, 0.626414, 0.629409, 0.629576, 0.631953, 0.632017, 0.636068, 0.636168, 0.640343, 0.640416, 0.643971, 0.643741, 0.650454, 0.650577, 0.65291, 0.652962, 0.661403, 0.66145, 0.662402, 0.662465, 0.671485, 0.671492, 0.671288, 0.671323, 0.678257, 0.678369, 0.679267, 0.679275, 0.681509, 0.683672, 0.683737, 0.684887
tefreqs:, 9, 0.3, 0, 0, 0.3, 0.215101, 0.219032, 0.219223, 0.230121, 0.230181, 0.24724, 0.247278, 0.268944, 0.268981, 0.293785, 0.293835, 0.320448, 0.320541, 0.347718, 0.34794, 0.374171, 0.37488, 0.396423, 0.400248, 0.417774, 0.431391, 0.4338, 0.435915, 0.439375, 0.442329, 0.44619, 0.446665, 0.449669, 0.452063, 0.454146, 0.455404, 0.456253, 0.457204, 0.45839, 0.460859, 0.464558, 0.470421, 0.472186, 0.473119, 0.477572, 0.482422, 0.487281, 0.487391, 0.490262, 0.496796, 0.497191, 0.499058, 0.503402, 0.505135, 0.507105, 0.508787, 0.511278, 0.512326, 0.514955, 0.515657, 0.51613, 0.517245, 0.518125, 0.519496, 0.519751, 0.579088, 0.581675, 0.585213, 0.588879, 0.592024, 0.594375, 0.595988, 0.597024, 0.597655, 0.598001, 0.61109, 0.61131, 0.611408, 0.611451, 0.611507, 0.611552, 0.611599, 0.610928, 0.611494, 0.611535, 0.618215, 0.618466, 0.618675, 0.619533, 0.619621, 0.620234, 0.621357, 0.621438, 0.62164, 0.621729, 0.624367, 0.624371, 0.625094, 0.625212, 0.629105, 0.62911, 0.629776, 0.629876, 0.635369, 0.63522, 0.635321, 0.635392, 0.641499, 0.641637, 0.642368, 0.6424, 0.64929, 0.649294, 0.654931, 0.654937, 0.647663, 0.647845, 0.652717, 0.653134, 0.655845, 0.65865, 0.65865, 0.659696, 0.65996, 0.65997
tefreqs:, 10, 0.4, 0, 0, 0.4, 0.282315, 0.285427, 0.286218, 0.293619, 0.293891, 0.306343, 0.30652, 0.322833, 0.323003, 0.342059, 0.342283, 0.362789, 0.363197, 0.382989, 0.384063, 0.392853, 0.394128, 0.401369, 0.408199, 0.408569, 0.412618, 0.412681, 0.414668, 0.415555, 0.422556, 0.423222, 0.427766, 0.429135, 0.431996, 0.433041, 0.440313, 0.440691, 0.445604, 0.447355, 0.448736, 0.45252, 0.455988, 0.461891, 0.464936, 0.46918, 0.472186, 0.477481, 0.480192, 0.482115, 0.487947, 0.488194, 0.491189, 0.493848, 0.495324, 0.499094, 0.499698, 0.501123, 0.501941, 0.505938, 0.508384, 0.511161, 0.51411, 0.515292, 0.517582, 0.517864, 0.580075, 0.582033, 0.584663, 0.587357, 0.589682, 0.591452, 0.592673, 0.593438, 0.593881, 0.594115, 0.611096, 0.611273, 0.61146, 0.611507, 0.611643, 0.611704, 0.611776, 0.610878, 0.611477, 0.611628, 0.617395, 0.617446, 0.617537, 0.617726, 0.61801, 0.618077, 0.618621, 0.619191, 0.618343, 0.620947, 0.621009, 0.621894, 0.622834, 0.622934, 0.623401, 0.623537, 0.625096, 0.625209, 0.626612, 0.626326, 0.628131, 0.628265, 0.62952, 0.629944, 0.63198, 0.632001, 0.632195, 0.633319, 0.635248, 0.635706, 0.635685, 0.63878, 0.638792, 0.639855, 0.640614, 0.640679, 0.640719, 0.640738, 0.641307, 0.641311
